Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Smarter Every Day - The Walking Water Mystery (Lect. 6),,0:00,1:47
Electricity,Electric Calculus,1Intro,,1:47,1:56
Electricity,Electric Calculus,Ring of Charge (part b),,2:29,10:52
Electricity,Electric Calculus,Ring of Charge (part c),,10:52,15:40
Electricity,Electric Calculus,Ring of Charge (part d),,15:40,22:36
Electricity,Electric Calculus,Ring of Charge (part e),,22:36,26:51
Electricity,Electric Calculus,Summary - Finite Line of Charge,,26:51,29:52
Electricity,Electric Calculus,Summary - Full Ring of Charge,,29:52,30:47
Electricity,Electric Calculus,Summary - Partial Ring of Charge,,30:47,39:33
Electricity,Electric Calculus,Summary - Hollow Disk of Charge,,39:33,41:09
Electricity,Electric Calculus,Summary - Partial Spherical Shell of Charge,,41:09,47:54
Electricity,Gauss's Law,Sneak Peek - Gauss's Law,,47:54,49:48
